Sr No,Company Name,Founder/CEO to Contact,Role,Sector,What They Do,Why Social Enterprise,City,Website,Size,Activity Verified
31,Antarang Foundation,Priya Agrawal,Founder,EdTech - Career Counselling,Tech-enabled career counselling for low-income youth in Mumbai using digital assessment tools,Nonprofit; UnLtd India alumni; free career guidance for marginalized youth,Mumbai,antarangfoundation.org,20-40,Yes - UnLtd India alumni active
32,PadCare Labs,,Founder,CleanTech - Menstrual Waste,IoT-enabled sanitary pad recycling machine; converts used pads into cellulose and plastic,Social enterprise solving taboo waste problem; UnLtd India incubated,Pune,padcarelabs.com,10-30,Yes - UnLtd India portfolio; commercializing
33,Kutuki,Bharath Narayanan,Co-founder & CEO,EdTech - Early Childhood,Storytelling and play-based app for preschool foundational literacy and numeracy in vernacular,ACT for Education portfolio; serves low-income families in regional languages,Bengaluru,kutuki.in,20-40,Yes - ACT portfolio active 2025
34,English Quest,,Founder,EdTech - Spoken English,Affordable app helping teachers deliver spoken English lessons in underserved schools,ACT for Education portfolio; supplements teacher capacity in low-resource schools,India,englishquest.in,<20,Yes - ACT portfolio active 2025
35,Josh Skills,,Founder,EdTech - Spoken English Skilling,Affordable gamified spoken English course for underserved youth enabling peer learning,ACT for Education portfolio; targets bottom-of-pyramid youth for employability,India,joshskills.com,20-50,Yes - ACT portfolio active 2025
36,Sakshm AI,Apurv Mehra,Co-founder,AI - Skilling Platform,AI-powered personalized skilling for Tier 2 and 3 graduates to prepare for tech jobs,ACT grant recipient July 2025; built for underserved graduates in small cities,India,sakshm.ai,<10,Yes - ACT grant July 2025
37,V-All,,Founder,Digital - Civic Engagement,Gamified civic platform matching individuals with volunteer opportunities suited to their skills,ACT grant recipient July 2025; mission to enable civic participation at scale,India,,<10,Yes - ACT grant July 2025
38,RenewCred,,Founder,CleanTech - Carbon Registry,India's first fully digital carbon registry using IoT ML and blockchain for real-time credit issuance,ACT grant recipient July 2025; enables transparent carbon markets for small players,India,renewcred.com,<10,Yes - ACT grant July 2025
39,Barabari Collective,,Founder,EdTech - Youth Skilling,Hybrid platform offering practical tech skills training and freelance work to underserved youth,ACT grant recipient 2025; dual model of learning + earning for marginalized youth,India,,<15,Yes - ACT portfolio 2025
40,Supernan,,Founder,Digital - Women Livelihoods,Trains and certifies women as professional nannies improving livelihood and childcare access,ACT grant recipient July 2025; livelihood creation for women from low-income backgrounds,India,,<10,Yes - ACT grant July 2025
41,Adalat AI,,Founder,AI - Legal Access,AI platform automating courtroom transcription and digitizing records for faster justice delivery,ACT for Education portfolio; making justice accessible through technology,India,,<15,Yes - ACT portfolio 2025
42,Claylab Education,Purva Parwani,Founder,EdTech - Rural Education,Tech-enabled education solutions for rural communities,UnLtd India Feb 2024 cohort; founder actively in Grow cohort,India,,<15,Yes - UnLtd India 2024 cohort
43,BumbleB Trust,Prem Kumar Gokuladasan,Founder,EdTech / Social,Tech-enabled social impact enterprise (UnLtd India incubated),UnLtd India Feb 2024 Build + Grow cohort; active founder testimony,India,,<15,Yes - UnLtd India 2024 cohort
44,Glific (by Project Tech4Dev),Donald Lobo,Founder,Digital - WhatsApp for NGOs,Open-source two-way WhatsApp communication platform built specifically for nonprofits,Free tool enabling 100+ NGOs to reach beneficiaries via WhatsApp at scale,Bengaluru,glific.org,10-20,Yes - active open-source project 2025
45,Avni (by Project Tech4Dev),,Lead,Digital - Field Data for NGOs,Open-source mobile data collection app for community health workers and field teams,Free tool for NGOs replacing paper-based data collection; used across India,Bengaluru,avniproject.org,10-20,Yes - active open-source project 2025
46,iDream Education,Rohit Prakash,Founder & CEO,EdTech - Digital Learning Devices,Preloaded digital learning tablets with offline content in vernacular for rural government schools,Social enterprise providing digital education where internet doesnt exist,Gurugram,idreameducation.org,30-50,Yes - active in multiple state govts
47,Saajha,Mridul Bhushan,Co-founder,EdTech - Parent Engagement,Tech platform enabling low-income parents to engage with government schools and improve accountability,Nonprofit; uses SMS and IVR technology to empower parents who cant visit schools,Delhi,saajha.org,10-20,Likely - referenced in education sector
48,Universe Simplified Foundation,Henna Khan,Founder,EdTech - Science Education,Digital science education content making complex concepts accessible to underserved students,UnLtd India alumni (Jul 2018 cohort); nonprofit education model,India,,<15,Likely - UnLtd alumni
49,Masoom (Education For All),Nikita Ketkar,Founder,EdTech - Out of School Children,Tech-enabled learning for out-of-school children and dropouts to re-enter formal education,UnLtd India alumni; mission to bring dropouts back to school,Mumbai,,10-20,Likely - UnLtd alumni
50,Bharat Krushi Seva,,Founder,AgriTech - AI Farm Advisory,AI crop advisory in regional languages for smallholder farmers,Villgro-backed seed stage; mission to serve marginal farmers,India,bharatkrushiseva.com,<15,Yes - Villgro investment 2024
51,Perkant Tech,,Founder,AgriTech - Tech for Farmers,Technology solutions for farming communities (Villgro's most recent first-time investment),Villgro-backed 2025; early-stage social enterprise for farmer welfare,India,,<10,Yes - Villgro investment 2025
52,JalSevak Solutions,,Founder,CleanTech - Greywater Recycling,Decentralized household greywater recycling for toilet flushing and gardening,Villgro incubated; affordable water recycling for low-income households,India,,<10,Likely - Villgro portfolio
53,Cherries Engineering,,Founder,SanitationTech - Anti Manual Scavenging,JALODBUST portable equipment eliminating manual scavenging from septic tanks,Villgro incubated; solving caste-based occupational hazard,India,,<10,Likely - Villgro portfolio
54,Bore Charger (Gangpur Ventures),,Founder,AgriTech - Water Access,Tool to improve yield of failed borewells for smallholder farmers,Villgro portfolio; solving critical groundwater access for poor farmers,India,,<10,Likely - Villgro portfolio
55,Capsber,,Founder,AgriTech - Bio Inputs,Eco-friendly alternatives to chemical fertilizers with patented biopesticide solutions,Villgro portfolio; reducing chemical dependency for small farmers; crop-specific solutions,India,,<10,Likely - Villgro portfolio
56,Bahula Foods,,Founder,AgriTech - Pastoral Livelihoods,Premium organic camel milk and dairy brand partnering with pastoral farmers in Rajasthan,Villgro portfolio; ensures fair pricing for pastoralist households in remote areas,Rajasthan,,<10,Likely - Villgro portfolio
57,Freshr,,Founder,AgriTech - Fish Supply Chain,Integrated fish and meat aggregation from farmers to retail with FSSAI certified outlets in East India,Villgro portfolio; direct farm-to-consumer eliminating middlemen for fishing communities,Eastern India,,<20,Likely - Villgro portfolio
58,Raheja Solar,,Founder,CleanTech - Solar Drying,Solar dryers needing no grid power for food preservation by small farmers,Villgro portfolio; reduces post-harvest food loss for small farmers off-grid,India,,<10,Likely - Villgro portfolio
