Sr No,Company Name,Founder,Role,Sector,What They Do,Why Its a Social Enterprise,City,Website Domain,Size Estimate
1,Haqdarshak,Aniket Doegar,CEO & Co-founder,Digital - Welfare Access,Mobile app + 45000 women agents helping citizens discover and apply for govt welfare schemes,Mission-first: exists to deliver welfare benefits to poor; Forbes 30 Under 30 Asia; Schwab Foundation Social Innovator,Mumbai,haqdarshak.com,Small (50-100 team)
2,Karya,Manu Chopra,Co-founder & CEO,AI - Ethical Data & Livelihoods,Employs rural Indians to create AI training data in local languages; pays 20x minimum wage; workers own their data,Nonprofit model; reinvests surplus into worker pay; TIME100 AI list; partners with Gates Foundation,Bengaluru,karya.in,Small (~60 team)
3,Khushi Baby,Dr. Ruchit Nagar,Co-founder,Digital Health - Community Health,NFC wearable + CHIP digital platform for community health workers; 75000 CHWs onboarded; 46M lives impacted,Nonprofit digital health org; open-source Digital Public Good; UNICEF-backed,Udaipur,khushibaby.org,Small (50-80 team)
4,Wysa,Jo Aggarwal,CEO & Co-founder,AI - Mental Health,AI chatbot for mental health using CBT techniques; free basic version; 7M+ users globally,Founded specifically for mental health accessibility; free tier for those who cant afford therapy,Bengaluru,wysa.com,Medium (~100 team)
5,Gram Vaani,Vijay Sai Pratap,Co-founder & CEO,Digital - Voice-based Community Media,Voice-based community media platform (Mobile Vaani) for rural communities who cant read/write; enables citizen journalism,IIT Delhi spinoff; mission to give voice to marginalized; uses low-cost phone technology,Delhi,gramvaani.org,Small (20-40 team)
6,Avanti Fellows,Akshay Saxena,Co-founder,EdTech - Free Tutoring,Free tech-enabled tutoring and college counselling for low-income students to access IITs and top colleges,Nonprofit; Ashoka Fellow; Echoing Green Fellow; free service for bottom-of-pyramid students,Mumbai,avantifellows.org,Small (50-80 team)
7,Frontier Markets,Ajaita Shah,CEO & Founder,Social Commerce - Rural Women,Rural social commerce using women Sahelis as last-mile digital agents for clean energy and essential products,Built to serve rural BOP households via women entrepreneurs; Acumen and USAID backed,Jaipur,frontiermarkets.co,Small (50-100 team)
8,Niramai Health Analytix,Dr. Geetha Manjunath,CEO & Co-founder,AI - Breast Cancer Screening,AI-based non-invasive affordable breast cancer detection using thermal imaging in 200+ hospitals,Founded to make cancer screening affordable and accessible for all women including rural India,Bengaluru,niramai.com,Small (~70 team)
9,Atom360,,Founder,AI - Oral Cancer Screening,AI-powered oral cancer screening app for low-income communities using smartphone image analysis,Built specifically for underserved populations; ACT for Health portfolio,India,atom360.io,Very Small (<20 team)
10,Project Tech4Dev,Donald Lobo,Founder,Open Source Tech for NGOs,Provides affordable open-source tech platforms and data tools to 100+ nonprofits across India,Nonprofit; bridges tech gap for NGOs; built Glific (WhatsApp for nonprofits) and Avni (data collection),Bengaluru,projecttech4dev.org,Small (20-40 team)
11,Rocket Learning,Namya Mahajan,CEO,EdTech - Early Childhood,WhatsApp-based early childhood education for low-income parents; works with govt anganwadis,Nonprofit; partners with state govts to reach poorest families; funded by Central Square Foundation,Delhi,rocketlearning.org,Small (50-80 team)
12,GoCoop,Shiva Devireddy,Founder,Digital Marketplace - Artisans,Online marketplace connecting cooperatives weavers and artisans directly to buyers eliminating middlemen,Social enterprise mission to increase artisan incomes; backed by Infosys co-founder,Bengaluru,gocoop.com,Small (10-20 team)
13,Myna Mahila Foundation,Suhani Jalota,Founder & CEO,Digital Health - Women,Tech-enabled menstrual health and community healthcare platform for women in urban slums,Nonprofit; employs women from slums as health workers; data-driven outreach; Forbes 30 Under 30,Mumbai,mynamahila.com,Small (30-50 team)
14,CureBay,,Founder,HealthTech - Rural e-Clinics,150+ e-clinics in rural Odisha and Chhattisgarh providing telemedicine and diagnostics to underserved areas,Built specifically to serve areas with no healthcare access within 10km radius,Bhubaneswar,curebay.com,Small-Medium (80-120)
