Company,Votes,Categories,Website,Contact_Name,Email,Role,Confidence,Source
Uplyt.io,293,"Analytics, Advertising, SEO",https://www.uplyt.io,Contact,contact@uplyt.io,General Contact,0.7,Website Discovery,2025-05-25T01:37:21.583219
Shotomatic,210,"Mac, SaaS, Apple",https://www.shotomatic.com,Support,support@shotomatic.com,Customer Support,0.5,Website Discovery,2025-05-25T01:44:01.291477
Magentic-UI,174,"Open Source, Artificial Intelligence, GitHub, Development",https://www.microsoft.com,Support,support@xbox.com,Customer Support,0.5,Website Discovery,2025-05-25T01:49:24.981671
Tipsy Chat: Your AI Tavern,73,"Artificial Intelligence, Bots, Photo & Video",https://tipsy.chat,Support,support@tipsy.chat,Customer Support,0.5,Website Discovery,2025-05-25T01:51:05.304500
SlidesCraft,62,"Productivity, User Experience, Artificial Intelligence",https://www.slidescraft.com,Mmmmmyyc,mmmmmyyc@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:53:19.242216
SlidesCraft,62,"Productivity, User Experience, Artificial Intelligence",https://www.slidescraft.com,Mmmmmyyc,mmmmmyyc@ycamie.com,Contact,0.6,Website Discovery,2025-05-25T01:53:19.243824
Paperguide Article GPT,55,"Writing, Marketing, Artificial Intelligence",https://paperguide.ai,Hello,hello@paperguide.ai,General Contact,0.7,Website Discovery,2025-05-25T01:55:28.310981
Paperguide Article GPT,55,"Writing, Marketing, Artificial Intelligence",https://paperguide.ai,Juanrivera126,juanrivera126@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:55:28.311770
Paperguide Article GPT,55,"Writing, Marketing, Artificial Intelligence",https://paperguide.ai,Radicallypracticalgravity,radicallypracticalgravity@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:55:28.311793
Paperguide Article GPT,55,"Writing, Marketing, Artificial Intelligence",https://paperguide.ai,Wllei080120,wllei080120@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:55:28.311803
Paperguide Article GPT,55,"Writing, Marketing, Artificial Intelligence",https://paperguide.ai,Sofiahillyzahm22,sofiahillyzahm22@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:55:28.311813
Paperguide Article GPT,55,"Writing, Marketing, Artificial Intelligence",https://paperguide.ai,Greywolf12130,greywolf12130@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:55:28.311821
Paperguide Article GPT,55,"Writing, Marketing, Artificial Intelligence",https://paperguide.ai,Emalespina,emalespina@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:55:28.311832
MewtruCard,17,"Card Games, Funny, Design Tools, GitHub",https://lu.ma/producthunt,Chris,chris@mtlc.co,HR/Recruiting,0.9,Website Discovery,2025-05-25T01:56:42.378443
MewtruCard,17,"Card Games, Funny, Design Tools, GitHub",https://lu.ma/producthunt,Me,me@email.com,Contact,0.6,Website Discovery,2025-05-25T01:56:42.379158
MewtruCard,17,"Card Games, Funny, Design Tools, GitHub",https://lu.ma/producthunt,Ndan,ndan@knoknok.co,Contact,0.6,Website Discovery,2025-05-25T01:56:42.379179
MewtruCard,17,"Card Games, Funny, Design Tools, GitHub",https://lu.ma/producthunt,You,you@email.com,Contact,0.6,Website Discovery,2025-05-25T01:56:42.379189
MewtruCard,17,"Card Games, Funny, Design Tools, GitHub",https://lu.ma/producthunt,Admin,admin@myswitchapp.com,Contact,0.6,Website Discovery,2025-05-25T01:56:42.379200
MewtruCard,17,"Card Games, Funny, Design Tools, GitHub",https://lu.ma/producthunt,Support,support@lu.ma,Customer Support,0.5,Website Discovery,2025-05-25T01:56:42.379210
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Ser,ser@babybus.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.494650
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Cs1Nikkigame,cs1nikkigame@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495609
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Privacy,privacy@elex-tech.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495639
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Frenzyfeedback,frenzyfeedback@outlook.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495654
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Mwa,mwa@tinybytes.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495669
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Cs,cs@mobirix.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495682
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Eversoul Gb,eversoul.gb@kakaocorp.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495696
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Eversoul As,eversoul.as@kakaocorp.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495709
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Gp,gp@seeugame.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495750
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Cs2 Sofishgame,cs2_sofishgame@outlook.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495778
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Adaricmusic,adaricmusic@gmail.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495795
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Androidapps,androidapps@games2win.com,Contact,0.6,Website Discovery,2025-05-25T01:58:00.495810
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,U003Esupport,u003esupport@miniclip.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495825
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Help Doomsday Android,help.doomsday.android@igg.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495840
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Support,support@devgameou.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495854
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Support,support@whoyaho.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495867
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Support,support@wildspike.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495881
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,U003Esupport,u003esupport@ximad.zendesk.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495895
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Support Nexuswar,support.nexuswar@phantixgames.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495910
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Support,support@ximad.zendesk.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.495924
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Support Gp,support.gp@cubicgames.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.496060
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Help,help@zuuks.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.496074
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Support,support@blackbears.mobi,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.496084
NexuSelf,11,"Android, Health & Fitness, Artificial Intelligence",https://play.google.com,Customersupport,customersupport@cymplstudios.com,Customer Support,0.5,Website Discovery,2025-05-25T01:58:00.496094
SmartCue,10,"Chrome Extensions, SaaS, Marketing automation",https://www.getsmartcue.com,Sales,sales@getsmartcue.com,Business Development,0.6,Website Discovery,2025-05-25T01:59:25.892184
SmartCue,10,"Chrome Extensions, SaaS, Marketing automation",https://www.getsmartcue.com,Support,support@getsmartcue.com,Customer Support,0.5,Website Discovery,2025-05-25T01:59:25.894435
MCP Fabric,9,"API, Developer Tools, Artificial Intelligence",https://mcpfabric.com,Support,support@hydroxygenlabs.com,Customer Support,0.5,Website Discovery,2025-05-25T01:59:49.984805
MCP Fabric,9,"API, Developer Tools, Artificial Intelligence",https://mcpfabric.com,Support,support@mcpfabric.com,Customer Support,0.5,Website Discovery,2025-05-25T01:59:49.985762
